2021-06-28 01:06:148 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-28 01:06:482 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-28 01:06:784 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: products-orderby]
2021-06-28 01:06:919 INFO  DesktopPage :60 - Clicking on Add to cart....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> xpath: //div[@data-productid='1']/div[2]/div[3]/div[2]/button[3]]
2021-06-28 01:06:870 INFO  BuildYourOnComputerPage :45 - Verifying Build Your Own Computer text....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-28 01:06:139 INFO  BuildYourOnComputerPage :51 - Select Processor....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: product_attribute_1]
2021-06-28 01:06:339 INFO  BuildYourOnComputerPage :57 - Select RAM....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: product_attribute_2]
2021-06-28 01:06:506 INFO  BuildYourOnComputerPage :63 - Select HDD 400....[[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: product_attribute_3_7]
2021-06-28 01:06:613 INFO  BuildYourOnComputerPage :69 - Select os vista premium [[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: product_attribute_4_9]
2021-06-28 01:06:734 INFO  BuildYourOnComputerPage :76 - Select total commander check box [[ChromeDriver: chrome on WINDOWS (224f58f3fdea84a818826906be273587)] -> id: product_attribute_5_12]
2021-06-28 01:06:740 INFO  BuildYourOnComputerPage :93 - Verifying Price
2021-06-28 01:06:581 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 01:06:747 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (36da295bec3c177f084b8ff08e755d16)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-28 01:06:125 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-28 01:06:495 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (36da295bec3c177f084b8ff08e755d16)] -> id: products-orderby]
2021-06-28 01:06:659 INFO  DesktopPage :60 - Clicking on Add to cart....[[ChromeDriver: chrome on WINDOWS (36da295bec3c177f084b8ff08e755d16)] -> xpath: //div[@data-productid='1']/div[2]/div[3]/div[2]/button[3]]
2021-06-28 01:06:207 INFO  BuildYourOnComputerPage :45 - Verifying Build Your Own Computer text....[[ChromeDriver: chrome on WINDOWS (36da295bec3c177f084b8ff08e755d16)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-28 01:06:475 INFO  BuildYourOnComputerPage :51 - Select Processor....[[ChromeDriver: chrome on WINDOWS (36da295bec3c177f084b8ff08e755d16)] -> id: product_attribute_1]
